101 Dalmatians | 101 dalmatians | m.018gq3 | film.film.story_by | m.018k1r | Dodie Smith | Who wrote the 1956 novel ‘101 Dalmatians’? | Dodie Smith
1960 Olympic Games | 1960 summer olympics | m.0lbd9 | olympics.olympic_games.host_city | m.06c62 | Rome | Where were the 1960 Olympic Games held? | Rome
1960 Olympic Games | 1960 summer olympics | m.0lbd9 | time.event.locations | m.06c62 | Rome | Where were the 1960 Olympic Games held? | Rome
1962 FIFA World Cup | 1962 fifa world cup | m.0gn00 | time.event.locations | m.01p1v | Chile | Which country hosted the 1962 FIFA World Cup? | Chile
1978 FIFA World Cup | 1978 fifa world cup | m.014nlh | time.event.locations | m.0jgd | Argentina | Which country won the 1978 FIFA World Cup? | Argentina
1978 World Cup finals | 1978 fifa world cup | m.014nlh | sports.sports_championship_event.runner_up | m.02ltg3 | Holland | Which football team lost both the 1974 and 1978 World Cup finals? | Holland
1980 Summer Olympics | 1980 summer olympics | m.0l6vl | olympics.olympic_games.host_city | m.04swd | Moscow | Which city hosted the 1980 Summer Olympics, which were boycotted by over 60 nations? | Moscow
1980 Summer Olympics | 1980 summer olympics | m.0l6vl | time.event.locations | m.04swd | Moscow | Which city hosted the 1980 Summer Olympics, which were boycotted by over 60 nations? | Moscow
1982 FIFA World Cup | 1982 fifa world cup | m.014nl_ | time.event.locations | m.06mkj | Spain | Which country hosted the 1982 FIFA World Cup? | Spain
1984 summer Olympics | 1984 summer olympics | m.0l6ny | olympics.olympic_games.host_city | m.030qb3t | Los Angeles | Where were the 1984 summer Olympics held? | Los Angeles
1984 summer Olympics | 1984 summer olympics | m.0l6ny | time.event.locations | m.030qb3t | Los Angeles | Where were the 1984 summer Olympics held? | Los Angeles
1988 summer Olympics | 1988 summer olympics | m.0l6mp | olympics.olympic_games.host_city | m.0hsqf | Seoul | Where were the 1988 summer Olympics held? | Seoul
1988 summer Olympics | 1988 summer olympics | m.0l6mp | time.event.locations | m.0hsqf | Seoul | Where were the 1988 summer Olympics held? | Seoul
1990 FIFA World Cup | 1990 fifa world cup | m.014nm_ | time.event.locations | m.03rjj | Italy | In which country was the 1990 FIFA World Cup held? | Italy
1992 Summer Olympic Games | 1992 summer olympics | m.0l6m5 | olympics.olympic_games.host_city | m.01f62 | Barcelona | The 1992 Summer Olympic Games were hosted by which European city? | Barcelona
1992 Summer Olympic Games | 1992 summer olympics | m.0l6m5 | olympics.olympic_games.host_city | m.01f62 | Barcelona | Which city hosted the 1992 Summer Olympic Games? | Barcelona
1992 Summer Olympic Games | 1992 summer olympics | m.0l6m5 | time.event.locations | m.01f62 | Barcelona | The 1992 Summer Olympic Games were hosted by which European city? | Barcelona
1992 Summer Olympic Games | 1992 summer olympics | m.0l6m5 | time.event.locations | m.01f62 | Barcelona | Which city hosted the 1992 Summer Olympic Games? | Barcelona
1994 FIFA World Cup | 1994 fifa world cup | m.012xwf | time.event.locations | m.09c7w0 | USA | Which country hosted the 1994 FIFA World Cup? | USA
1996 Cricket World Cup | 1996 cricket world cup | m.01907d | cricket.cricket_tournament_event.host | m.06m_5 | Sri Lanka | Which country won the 1996 Cricket World Cup? | Sri Lanka
1996 Cricket World Cup | 1996 cricket world cup | m.01907d | time.event.locations | m.06m_5 | Sri Lanka | Which country won the 1996 Cricket World Cup? | Sri Lanka
1998 World Cup | 1998 fifa world cup | m.0x_x3 | time.event.locations | m.0f8l9c | France | Which football team won the 1998 World Cup? | France
20,000 Leagues Under The Sea | 20,000 leagues under the sea | m.09hhj | book.written_work.author | m.04093 | Jules Verne | Who wrote `20,000 Leagues Under The Sea`? | Jules Verne
20,000 Leagues Under The Sea | 20,000 leagues under the sea | m.0f6nvl | film.film.story_by | m.04093 | Jules Verne | Who wrote `20,000 Leagues Under The Sea`? | Jules Verne
20,000 Leagues Under The Sea | twenty thousand leagues under the sea | m.09hhj | book.book.characters | m.014s4v | Captain Nemo | In the novel `20,000 Leagues Under The Sea` what was the name of the captain of the submarine Nautilus? | Captain Nemo
2000 Olympic Games | 2000 summer olympics | m.0jdk_ | olympics.olympic_games.participating_countries | m.0chghy | Australia | In which country did the 2000 Olympic Games take place? | Australia
2000 Summer Olympic Games | 2000 summer olympics | m.0jdk_ | olympics.olympic_games.participating_countries | m.0chghy | Australia | Which country hosted the 2000 Summer Olympic Games? | Australia
2001 FA Cup final | 2001 fa cup final | m.07hwc4 | sports.sports_championship_event.runner_up | m.0xbm | Arsenal | Who did Liverpool beat in the 2001 FA Cup final? | Arsenal
2002 AA29 | 2002 aa29 | m.02vllg | astronomy.celestial_object.category | m.0jvq | Asteroid | What is the 2002 AA29? | Asteroid
2002 AA29 | 2002 aa29 | m.02vllg | common.topic.notable_types | m.021ynng | Asteroid | What is the 2002 AA29? | Asteroid
2002 FIFA World Cup | 2002 fifa world cup | m.0dt_z | time.event.locations | m.06qd3 | South Korea | In the 2002 FIFA World Cup, which national football team became the first team in the Asian Football Confederation to reach the World Cup semi-finals? | South Korea
2002 FIFA World Cup | 2002 fifa world cup | m.0dt_z | time.event.locations | m.06qd3 | South Korea | Which country’s football team did Germany beat in the 2002 FIFA World Cup semi-final? | South Korea
2002 Winter Olympic Games | 2002 winter olympics | m.09n48 | olympics.olympic_games.host_city | m.0f2r6 | Salt Lake City | Which US city hosted the 2002 Winter Olympic Games? | Salt Lake City
2002 Winter Olympic Games | 2002 winter olympics | m.09n48 | time.event.locations | m.0f2r6 | Salt Lake City | Which US city hosted the 2002 Winter Olympic Games? | Salt Lake City
2003 Cricket World Cup | 2003 cricket world cup | m.015blr | cricket.cricket_tournament_event.host | m.019rg5 | Kenya | In which African country did New Zealand refuse to play in the 2003 Cricket World Cup, because of a terrorist threat? | Kenya
2003 Cricket World Cup | 2003 cricket world cup | m.015blr | time.event.locations | m.019rg5 | Kenya | In which African country did New Zealand refuse to play in the 2003 Cricket World Cup, because of a terrorist threat? | Kenya
2003 ICC Cricket World Cup | 2003 cricket world cup | m.015blr | cricket.cricket_tournament_event.host | m.0hzlz | South Africa | Which country hosted the 2003 ICC Cricket World Cup? | South Africa
2003 ICC Cricket World Cup | 2003 cricket world cup | m.015blr | time.event.locations | m.0hzlz | South Africa | Which country hosted the 2003 ICC Cricket World Cup? | South Africa
2004 Summer Olympic Games | 2004 summer olympics | m.0kbvb | olympics.olympic_games.host_city | m.0n2z | Athens | Which European city hosted the 2004 Summer Olympic Games? | Athens
2004 Summer Olympic Games | 2004 summer olympics | m.0kbvb | time.event.locations | m.0n2z | Athens | Which European city hosted the 2004 Summer Olympic Games? | Athens
2004 Summer Olympics | 2004 summer olympics | m.0kbvb | olympics.olympic_games.host_city | m.0n2z | Athens | Which city will host the 2004 Summer Olympics? | Athens
2004 Summer Olympics | 2004 summer olympics | m.0kbvb | time.event.locations | m.0n2z | Athens | Which city will host the 2004 Summer Olympics? | Athens
2006 FIFA World Cup | 2006 fifa world cup | m.014nnh | base.x2010fifaworldcupsouthafrica.fifa_world_cup.best_player | m.0kcv4 | Zinedine Zidane | Who won the Golden Ball Award for best player at the 2006 FIFA World Cup? | Zinedine Zidane
2006 FIFA World Cup | 2006 fifa world cup | m.014nnh | base.x2010fifaworldcupsouthafrica.fifa_world_cup.host_country | m.0345h | Germany | In which country was the 2006 FIFA World Cup held? | Germany
2006 FIFA World Cup | 2006 fifa world cup | m.014nnh | time.event.locations | m.0345h | Germany | In which country was the 2006 FIFA World Cup held? | Germany
2008 Summer Olympics | 2008 summer olympics | m.0kbws | olympics.olympic_games.participating_countries | m.0jgd | Argentina | The men’s football team from which country won the gold medal at the 2008 Summer Olympics? | Argentina
2010 Commonwealth Games | 2010 commonwealth games | m.01_z6_ | sports.multi_event_tournament.sports | m.03mr6 | Hockey | Brothers Richard and Simon Mantell played which sport for England in the 2010 Commonwealth Games? | Hockey
2011 US Open | 2011 u.s. open | m.0gh81_5 | award.competition.winner | m.0b86xd | Rory McIlroy | Which golfer won the 2011 US Open? | Rory McIlroy
2012 London Olympic Games | 2012 summer olympics | m.06sks6 | olympics.olympic_games.mascot | m.0c02zg_ | Wenlock and Mandeville | What are the names of the two 2012 London Olympic Games mascots? | Wenlock and Mandeville
2012 Tour de France | 2012 tour de france | m.0ch500q | award.competition.winner | m.03qz3b | Bradley Wiggins | Which British cyclist won the 2012 Tour de France? | Bradley Wiggins
2012 Tour de France | 2012 tour de france | m.0ch500q | base.peleton.road_bicycle_racing_event.winner | m.03qz3b | Bradley Wiggins | Which British cyclist won the 2012 Tour de France? | Bradley Wiggins
2013 Tour de France | 2013 tour de france | m.0bmkdzv | award.competition.competitors | m.047r19m | Chris Froome | Who won the 2013 Tour de France? | Chris Froome
2013 Tour de France | 2013 tour de france | m.0bmkdzv | award.competition.winner | m.047r19m | Chris Froome | Who won the 2013 Tour de France? | Chris Froome
2014 FIFA World Cup | 2014 fifa world cup | m.030791 | time.event.locations | m.015fr | Brazil | Which country will host the 2014 FIFA World Cup? | Brazil
2014 FIFA World Cup | 2014 fifa world cup | m.030791 | time.event.locations | m.015fr | Brazil | Which South American country will host the 2014 FIFA World Cup? | Brazil
2014 Winter Olympic Games | 2014 winter olympics | m.03mfdg | olympics.olympic_games.participating_countries | m.06bnz | Russia | Which country will be hosting the 2014 Winter Olympic Games? | Russia
24 Hours From Tulsa | twenty four hours from tulsa | m.0dmd0vc | music.recording.artist | m.0163s9 | Gene Pitney | Who had a hit with `24 Hours From Tulsa` in 1963? | Gene Pitney
2 Become 1 | 2 become 1 | m.01ks7db | music.album.artist | m.071kj | Spice Girls |  ‘2 Become 1’, ‘Say You’ll Be There’ and ‘Viva Forever’ were all number one hit singles by which British group? | Spice Girls
2 Become 1 | 2 become 1 | m.04vddr | music.composition.composer | m.01myv9 | Spice Girls |  ‘2 Become 1’, ‘Say You’ll Be There’ and ‘Viva Forever’ were all number one hit singles by which British group? | Spice Girls
2 Become 1 | 2 become 1 | m.0xqkyy | music.recording.artist | m.071kj | Spice Girls |  ‘2 Become 1’, ‘Say You’ll Be There’ and ‘Viva Forever’ were all number one hit singles by which British group? | Spice Girls
2 Pac | tupac shakur | m.07pzc | music.artist.track | m.0112h_g | California | Which ‘kind of love’ did 2 Pac have a hit with in 1996? | California
3753 Cruithne | 3753 cruithne | m.0cq48 | astronomy.celestial_object.category | m.0jvq | Asteroid | In relation to the Earth what is the 3753 Cruithne? | Asteroid
3753 Cruithne | 3753 cruithne | m.0cq48 | astronomy.near_earth_object.near_earth_object_classification | m.0jvq | Asteroid | In relation to the Earth what is the 3753 Cruithne? | Asteroid
3753 Cruithne | 3753 cruithne | m.0cq48 | common.topic.notable_types | m.021ynng | Asteroid | In relation to the Earth what is the 3753 Cruithne? | Asteroid
39 Steps | the 39 steps | m.09xcn4 | film.film.story_by | m.0llf9 | John Buchan | Who wrote the novel `The 39 Steps`? | John Buchan
39 steps | the 39 steps | m.0byd8d1 | film.film.story_by | m.0llf9 | John Buchan | Who wrote the 39 steps (both names) | John Buchan
39 steps | the 39 steps | m.0llgk | book.written_work.author | m.0llf9 | John Buchan | Who wrote the 39 steps (both names) | John Buchan
39 Steps | the 39 steps | m.0llgk | book.written_work.author | m.0llf9 | John Buchan | Who wrote the novel `The 39 Steps`? | John Buchan
3 Words | 3 words | m.01123htn | music.recording.artist | m.03292j | Cheryl Cole | Which British singer released a 2009 album entitled ‘3 Words’? | Cheryl Cole
3 Words | 3 words | m.07kfy9x | music.album.artist | m.03292j | Cheryl Cole | Which British singer released a 2009 album entitled ‘3 Words’? | Cheryl Cole
3 Words | 3 words | m.09ghfs9 | music.composition.composer | m.03292j | Cheryl Cole | Which British singer released a 2009 album entitled ‘3 Words’? | Cheryl Cole
50 Cent | 50 cent | m.01vvyc_ | music.artist.album | m.01l18_l | Candy Shop | What kind of shop did 50 Cent rap about in 2005? | Candy Shop
50 Cent | 50 cent | m.01vvyc_ | music.artist.track | m.010qghs | Candy Shop | What kind of shop did 50 Cent rap about in 2005? | Candy Shop
50 Cent | 50 cent | m.01vvyc_ | music.composer.compositions | m.05hhy5 | Candy Shop | What kind of shop did 50 Cent rap about in 2005? | Candy Shop
617 squadron | no. 617 squadron raf | m.02vjbl | cvg.computer_game_subject.games | m.0by97b | The Dambusters | By what name was 617 squadron known during the Second World War? | The Dambusters
742 Evergreen Terrace | the simpsons house | m.08mftp | fictional_universe.fictional_setting.universe | m.0hpdvvj | The Simpsons | Which TV family live at 742 Evergreen Terrace? | The Simpsons
7th Symphony | symphony no. 7 | m.02g2zh | music.composition.composer | m.02ck1 | Shostakovich | Which composers 7th Symphony is known as the “Leningrad” symphony? | Shostakovich
7th Symphony | symphony no. 7 | m.049rr2j | music.album.artist | m.02ck1 | Shostakovich | Which composers 7th Symphony is known as the “Leningrad” symphony? | Shostakovich
80s | pop music | m.064t9 | music.genre.albums | m.01h8zf0 | Madness | Who had hits in the 80s with `It Must Be Love`, `Wings Of A Dove` and `Uncle Sam`? | Madness
80s | pop music | m.064t9 | music.genre.artists | m.035bdc | Pet shop boys | West End Girls was the debut hit for what pop duo in the 80s | Pet shop boys
80s | pop music | m.064t9 | music.genre.artists | m.0fq0s89 | Madness | Who had hits in the 80s with `It Must Be Love`, `Wings Of A Dove` and `Uncle Sam`? | Madness
99 Red Balloons | 99 luftballons | m.01j4trh | music.album.artist | m.01j4v2p | Nena | Who had a hit in 1984 with `99 Red Balloons`? | Nena
99 Red Balloons | 99 luftballons | m.03lm65 | music.composition.lyricist | m.01vtdqt | Nena | Who had a hit in 1984 with `99 Red Balloons`? | Nena
99 Red Balloons | 99 luftballons | m.0g8t_s1 | music.recording.artist | m.01j4v2p | Nena | Who had a hit in 1984 with `99 Red Balloons`? | Nena
99 Red Balloons | 99 luftballons | m.0l6r01b | music.release_track.release | m.034vm38 | Nena | Who had a hit in 1984 with `99 Red Balloons`? | Nena
99 Red Balloons | 99 luftballons | m.0lgtmf | music.recording.releases | m.034vm38 | Nena | Who had a hit in 1984 with `99 Red Balloons`? | Nena
9th | symphony no. 9 | m.01hrc6b | music.album.compositions | m.015xn | Ode to Joy | Beethoven's 9th was his interpretation of what work by Schiller | Ode to Joy
9th | symphony no. 9 | m.0dz55qc | music.single.versions | m.0xc4gv6 | Ode to Joy | Beethoven's 9th was his interpretation of what work by Schiller | Ode to Joy
9th | symphony no. 9 | m.0rqh1h | music.recording.song | m.015xn | Ode to Joy | Beethoven's 9th was his interpretation of what work by Schiller | Ode to Joy
9 to 5 | 9 to 5 | m.03d1x6w | theater.play.composer | m.02f1c | Dolly Parton | Which singer/songwriter wrote the musical ‘9 to 5’? | Dolly Parton
9 to 5 | 9 to 5 | m.03d1x6w | theater.play.composer | m.02f1c | Dolly Parton | Who sang the theme song in 9 to 5 | Dolly Parton
9 to 5 | 9 to 5 | m.03d1x6w | theater.play.lyricist | m.02f1c | Dolly Parton | Which singer/songwriter wrote the musical ‘9 to 5’? | Dolly Parton
9 to 5 | 9 to 5 | m.03d1x6w | theater.play.lyricist | m.02f1c | Dolly Parton | Who sang the theme song in 9 to 5 | Dolly Parton
9 to 5 | 9 to 5 | m.07rjjl | music.composition.composer | m.02f1c | Dolly Parton | Which singer/songwriter wrote the musical ‘9 to 5’? | Dolly Parton
9 to 5 | 9 to 5 | m.07rjjl | music.composition.composer | m.02f1c | Dolly Parton | Who sang the theme song in 9 to 5 | Dolly Parton
9 to 5 | 9 to 5 | m.07rjjl | music.composition.lyricist | m.02f1c | Dolly Parton | Which singer/songwriter wrote the musical ‘9 to 5’? | Dolly Parton
9 to 5 | 9 to 5 | m.07rjjl | music.composition.lyricist | m.02f1c | Dolly Parton | Who sang the theme song in 9 to 5 | Dolly Parton
9 to 5 | 9 to 5 | m.0dmdp0t | music.recording.artist | m.02f1c | Dolly Parton | Which singer/songwriter wrote the musical ‘9 to 5’? | Dolly Parton
9 to 5 | 9 to 5 | m.0g5b80c | music.album.artist | m.01vzxld | Sheena Easton | Who had a UK top ten hit in July, 1980 with `9 to 5`? | Sheena Easton
9 to 5 | 9 to 5 | m.0myyf8 | music.recording.artist | m.02f1c | Dolly Parton | Who sang the theme song in 9 to 5 | Dolly Parton
9 to 5 | 9 to 5 | m.0t_kbzx | music.album.artist | m.02f1c | Dolly Parton | Which singer/songwriter wrote the musical ‘9 to 5’? | Dolly Parton
9 to 5 | 9 to 5 | m.0t_kbzx | music.album.artist | m.02f1c | Dolly Parton | Who sang the theme song in 9 to 5 | Dolly Parton
9 to 5 | 9 to 5 | m.0_vb6g | music.recording.artist | m.01vzxld | Sheena Easton | Who had a UK top ten hit in July, 1980 with `9 to 5`? | Sheena Easton
Aaron Copeland | aaron copeland | m.0djg9 | base.ballet.ballet_composer.ballets_composed | m.0968k5 | Billy the Kid | Aaron Copeland wrote a ballet about which American folk hero | Billy the Kid
Aaron Copeland | aaron copeland | m.0djg9 | music.artist.track | m.0dzbxqg | Billy the Kid | Aaron Copeland wrote a ballet about which American folk hero | Billy the Kid
Aaron Copeland | aaron copeland | m.0djg9 | music.composer.compositions | m.0968k5 | Billy the Kid | Aaron Copeland wrote a ballet about which American folk hero | Billy the Kid
Abba | abba | m.038t528 | music.release.track_list | m.0lp3990 | Waterloo | With which song did Swedish pop group Abba win the 1974 Eurovision Song Contest? | Waterloo
Abba | abba | m.038t528 | music.release.track_list | m.0lp39b1 | Fernando | Which Abba song includes the line `Do you still recall that fateful night we crossed the Rio Grande`? | Fernando
Abba | abba | m.038t528 | music.release.track | m.016gdb0 | Super Trouper | What is the title of Abba’s last UK number one hit single? | Super Trouper
Abba | abba | m.038t528 | music.release.track | m.016gdb0 | Super Trouper | What is the title of the last UK number one hit for Swedish group Abba? | Super Trouper
Abba | abba | m.038t528 | music.release.track | m.016gdbp | Waterloo | What was Abba`s first British hit single? | Waterloo
Abba | abba | m.038t528 | music.release.track | m.016gdbp | Waterloo | With which song did Swedish pop group Abba win the 1974 Eurovision Song Contest? | Waterloo
Abba | abba | m.038t528 | music.release.track | m.016gdck | Fernando | Which Abba song includes the line `Do you still recall that fateful night we crossed the Rio Grande`? | Fernando
Abba | abba | m.0kjh | music.artist.album | m.01hnlvv | Waterloo | What was Abba`s first British hit single? | Waterloo
Abba | abba | m.0kjh | music.artist.album | m.01hnlvv | Waterloo | With which song did Swedish pop group Abba win the 1974 Eurovision Song Contest? | Waterloo
Abba | abba | m.0kjh | music.artist.album | m.01hnm5g | Super Trouper | What is the title of Abba’s last UK number one hit single? | Super Trouper
Abba | abba | m.0kjh | music.artist.album | m.01hnm5g | Super Trouper | What is the title of the last UK number one hit for Swedish group Abba? | Super Trouper
Abba | abba | m.0kjh | music.artist.album | m.01hnm5v | Fernando | Which Abba song includes the line `Do you still recall that fateful night we crossed the Rio Grande`? | Fernando
Abba | abba | m.0kjh | music.artist.track | m.012pm2y | Fernando | Which Abba song includes the line `Do you still recall that fateful night we crossed the Rio Grande`? | Fernando
Abba | abba | m.0kjh | music.artist.track | m.0g5zg9d | Waterloo | What was Abba`s first British hit single? | Waterloo
Abba | abba | m.0kjh | music.artist.track | m.0g5zg9d | Waterloo | With which song did Swedish pop group Abba win the 1974 Eurovision Song Contest? | Waterloo
Abba | abba | m.0kjh | music.artist.track | m.0p0f7p | Super Trouper | What is the title of Abba’s last UK number one hit single? | Super Trouper
Abba | abba | m.0kjh | music.artist.track | m.0p0f7p | Super Trouper | What is the title of the last UK number one hit for Swedish group Abba? | Super Trouper
Abba | abba | m.0vyvpd8 | music.release.track_list | m.0vy_g2b | Super Trouper | What is the title of Abba’s last UK number one hit single? | Super Trouper
Abba | abba | m.0vyvpd8 | music.release.track_list | m.0vy_g2b | Super Trouper | What is the title of the last UK number one hit for Swedish group Abba? | Super Trouper
Abba | abba | m.0vyvpd8 | music.release.track_list | m.0vyrlsj | Waterloo | What was Abba`s first British hit single? | Waterloo
ABC | abc | m.01dg8q | music.artist.origin | m.0m75g | Sheffield | In music, Pulp, Def Leppard and ABC all come from which English city? | Sheffield
ABC | abc | m.0ddbqsr | people.person.place_of_birth | m.0m75g | Sheffield | In music, Pulp, Def Leppard and ABC all come from which English city? | Sheffield
Abdabs | the dark side of the moo | m.0n49gp7 | music.album.artist | m.01wv9xn | Pink Floyd | The Abdabs was the original name of which band? | Pink Floyd
Abdul Aziz Ibn Saud | ibn saud | m.0195b9 | people.person.nationality | m.01z215 | Saudi Arabia | Abdul Aziz Ibn Saud was the first king of which Asian state? | Saudi Arabia
Abonimable Snowman | yeti | m.0hfj1 | base.mystery.cryptid.area_of_occurrence | m.09glw | Himalayas | With which mountain range would you associate the Abonimable Snowman? | Himalayas
Abonimable Snowman | yeti | m.0hfj1 | base.mystery.cryptid_classification.area_of_occurrence | m.09glw | Himalayas | With which mountain range would you associate the Abonimable Snowman? | Himalayas
About A Boy | about a boy | m.04tvp02 | book.book_edition.author_editor | m.016s6p | Nick Hornby | Who wrote the book `About A Boy` which was later turned into a successful film starring Hugh Grant? | Nick Hornby
About A Boy | about a boy | m.0bpx1k | film.film.executive_produced_by | m.016s6p | Nick Hornby | Who wrote the book `About A Boy` which was later turned into a successful film starring Hugh Grant? | Nick Hornby
